RespondentID,Section,Course,Term,Open,Text,Q1R1,Q1R2,Q1R3,Q1R4,Q1R5,Q1R6,Q1R7,Q2,Q3R1,Q3R2,Q3R3,Q3R4,Q3R5,Q4R1,Q4R2,Q4R3,Q4R4,Q4R5,Q4R6,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q23Rev,Q24,Q25,Q26,Q26R1,Q26R2,Q26R3,Q26R4,Q26R5,Q26R6,Q26R7,Q26Other,Q27,Q27GPA
4403520814,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,1,0,0,0,Evince,0,0,1,0,0,0,0,1,0,0,0,5,1,1,1,5,5,4,5,4,4,3,3,4,3,It complemented the lectures well.,"I picked up the book several semesters ago hoping to read it in my free time. At that point I found it nearly impenetrable and quickly gave up on it. However, while taking this course I began reading through it and found that it was nearly trivial.    I believe the reason for this is the lack of formalism in the text. A reader unfamiliar with the material may read an explanation given in English prose and parse it differently than the intended way (thus encountering a lot of confusion). Meanwhile, a reader who already knows where this is going (perhaps after covering analogous material in computability, foundations, and other logic books, or even by just attending class) will find the explanations clear and easy to grasp because they'll understand and interpret things within the context of intuition they've acquired.",4,5,4,2,1,4,MATH,1,1,0,0,0,0,0,,A+,4.3
4403155322,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,1,0,0,0,,1,1,0,0,0,1,1,0,1,0,0,6,4,3,3,5,5,3,2,2,1,4,1,3,1,Unfortunately nothing.  ,"In my opinion, authors of the text assume that everyone has a natural tendency to understand formal issues easily. That is not true. Although I have some logic and math background, I did not understand most parts of the text. The second problem relates to very very limited solved exercises. The Book provides good examples, however they are not always helpful to solve other exercises. There are too many issues on the book, but too less explanations and solved exercises. ",3,1,3,3,1,2,PHIL,0,0,0,1,0,0,0,,B+,3.3
4402950106,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,0,6,4,2,4,5,5,1,4,2,2,3,1,1,2,It's intuitive in its descriptions. ,"I think it needs the ""Lemma Theorem Proof""  style of other texts that introduce formal material. I don't want to try and read through a wall of text and random italics every time I need a definition or lemma. ",4,1,4,2,1,4,MATH,1,0,0,0,0,0,0,,A-,3.7
4402795481,F15PHIL379,PHIL379,Fall,Commercial,BBJ,0,0,0,1,0,0,0,Adobe,0,0,0,0,1,0,0,0,0,0,1,2,1,1,1,1,1,2,1,2,3,3,1,1,1,Nothing,"Since my professor did not follow the book, it ended up creating a gap in direction. Where the prof would go in one direction and the book would go in the other. This was extremely evident in the book however, as if you were trying to go review some concepts the prof mentioned, you would need to know the previous concepts the book mentioned and not the previous concepts the professor mentioned.",1,1,5,1,1,2,CPSC,0,1,0,0,0,0,0,,W,0
4402768563,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,1,0,0,1,0,1,1,0,1,1,0,3,3,3,2,4,4,3,3,3,3,2,2,2,2,,,2,3,5,1,1,5,CPSC,0,1,0,0,0,0,0,,B+,3.3
4402753820,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,1,0,1,1,0,0,0,0,0,0,1,6,3,2,3,5,5,,,,,,,,,,,,,,,,,OTHR,0,0,0,0,0,0,0,,,
4388820831,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,4,4,2,3,3,5,2,,4,4,"It attempts to present logic in an almost conversational matter, explaining incrementally and giving informal examples before delving into the formality.","Very hard to find exact things you need. It's not divided up well into sections, and often important definitions lie in the middle of half-page long paragraphs.",2,4,3,3,1,2,MATH,1,1,0,0,0,0,0,,A+,4.3
4385247671,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,3,3,2,3,2,1,2,2,1,2,"For some of the more simple material, it was fairly easy to understand. It was helpful to read some of the theorems from it to do the homework problems. The questions at the end of each chapter were very similar to the homework and test questions.","Some sort of glossary would have been helpful because there are some terms that were difficult to remember that I had to look up repeatedly. There were no answers or hints for the practice problems so when I tried to do them to study, I would have no idea whether or not I was right. It's difficult to understand the proofs and theorems when they mostly just appear in walls of text. I found I had to constantly go back and re-read previous sentences in paragraphs to keep everything straight.",4,1,4,2,1,3,PHIL,0,0,0,1,0,0,0,,C,2
4384569388,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,4,2,3,1,4,4,4,2,2,,2,1,1,2,,"Very little in the way of highlighting, underlining, or separating the information. It was often just walls of text broken up by the occasional diagram",3,2,4,2,1,4,CPSC,0,1,0,0,0,0,0,,B+,3.3
4384501982,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,1,6,3,4,4,5,5,4,4,4,4,4,4,3,4,,,3,4,2,4,1,3,CPSC,0,1,0,0,0,0,0,,W,0
4384428586,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,1,3,2,3,2,2,2,2,2,1,,"Because I am not from a 1 or 1 background, the material was essentially inaccessible to me. Even when Professor Kazmi referred to the text in lecture, the text was like reading in a different language. The lectures and review sessions provided more than enough information and understanding to grasp the concepts. The text book, on the other hand, confused me by providing too much extra information that I was not learning. The course was amazing, the text book was not necessary and was never used by myself.",3,1,1,5,1,2,PHIL,0,0,0,1,0,0,0,,C+,2.3
4382860193,F15PHIL379,PHIL379,Fall,Commercial,BBJ,0,0,0,1,0,0,0,Adobe,0,0,0,0,1,0,0,0,0,0,0,2,1,2,1,1,2,3,3,3,3,3,3,3,3,N/A,"I read the first chapter of the text and then stopped. The text's explanations of concepts were, from my limited experience, lengthy and detailed. The text was bland and I chose not to continue using it because I did not find the need for it. I also believed time put into reading the text would not be an effective use of my time.     I would have referred to the text if it had much smaller packages of information I could refer to, but finding something useful among the text of the chapter seemed daunting.",1,1,3,3,1,2,CPSC,0,1,0,0,0,0,0,,A,4
4382858365,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,1,4,2,2,1,3,3,1,3,2,1,1,2,2,1,It is relatively cheap.,"Everything is ""organised"" in large paragraphs rather than point form. When reading proofs, it's much harder to follow a wall of text in comparison to nicely outlined, step-by-step solutions. Theorems are also nested inside huge paragraphs rather than being pulled out into a separate block and highlighted in some way, as my Logic I textbook did. Overall, it was hard to follow and not at all useful. ",4,4,5,1,2,3,CPSC,0,1,0,0,0,0,0,,A,4
4382319780,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,5,3,2,1,4,4,4,3,2,2,3,2,1,2,,"Too condensed, with very few practical examples, overly demanding expectation of familiarity with subject. Lack of detailed answer key. Limited relevance to the assignments and exams.",4,4,3,3,1,2,CPSC,0,1,0,0,0,0,0,,D+,1.3
4382290154,F15PHIL379,PHIL379,Fall,Commercial,BBJ,0,0,0,1,0,0,0,"Adobe, Chrome",0,0,0,0,1,0,0,1,0,0,0,4,1,1,1,3,5,1,5,2,3,4,1,1,2,Basically nothing.,"The textbook has very few graphical examples and tends to have pages of very dense reading that ends up making a simple concept far more complicated than it has to be, rather than just showing a few graphical examples. I learned almost nothing from this textbook, every time I would look something up in it I would spend a huge amount of time trying to understand a simple concept and just end up frustrated and confused. I remember spending hours trying to understand this textbook's explanation of Cantor's diagonal argument, eventually I just googled it and in literally 5 minutes of reading and looking at the diagrams on the wikipedia page I understood it completely. I have talked to many of my peers regarding this textbook and they all feel the same way. I learn best when I see diagrams with a detailed explanation - 6 pages of text can be less effective than 2 paragraphs and a couple of diagrams.",1,1,5,1,1,3,CPSC,0,1,0,0,0,0,0,,B-,2.7
4382278735,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,1,5,2,1,1,4,4,4,3,2,2,4,5,1,1,The text was very formal and essentially did do it's job in explaining the proofs that the professor had gone over in class.,"The text is very dry, and tends to jump right into things. I found the course challenging and the text did not do much to help at all",3,1,4,2,1,2,CPSC,0,1,0,0,0,0,0,,C,2
4382137774,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,1,,,,,4,4,3,4,It was only $40,,3,5,1,5,1,3,PHYS,0,0,1,0,0,0,0,,A,4
4382113893,F15PHIL379,PHIL379,Fall,Commercial,BBJ,0,1,0,0,0,0,0,"Adobe Reader, preview ",0,0,0,0,1,0,0,1,0,0,0,2,1,1,1,3,3,4,2,2,4,1,2,1,2,,"Extremely dry and verbose. Often difficult to read. The text only sort of follows what is done in lecture, with some serious omissions (proving most claims directly instead of using the tree method used it class). ",4,3,5,1,1,4,CPSC,0,1,0,0,0,0,0,,A,4
4381950375,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,1,4,3,4,1,4,5,3,2,1,2,3,1,1,1,Absolutely nothing ,"How it is written in such a way that in order to understand what is being said, one must already have some previous knowledge of the material (which I don't because if I already know it, I wouldn't be taking the course). Also, the practice questions are always either incredibly hard or super easy. Either way, they are not very helpful.",3,1,5,1,1,4,PHIL,0,0,0,1,0,0,0,,W,0
4381899221,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,5,2,3,1,3,4,3,1,3,4,4,3,2,3,What material it had was well explained.,I wish it had more content related to the second half of the course. Proofs used different methods from class methods.,3,4,4,2,1,5,CPSC,0,1,0,0,0,0,0,,C-,1.7
4381837924,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,2,1,3,2,5,3,1,2,2,Nothing really. The text we used for this semester barely pertained to the course material as we learned it. It covered the same theorems / concepts etc. but our prof consistently used different proofs than what were provided in the text.,No step-by-step examples for the practice questions (or even solutions for that matter!).,1,2,3,3,1,1,CPSC,0,1,0,0,0,0,0,,A-,3.7
4381710007,F15PHIL379,PHIL379,Fall,Commercial,BBJ,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,6,2,2,2,2,2,3,3,3,3,3,3,3,3,,,4,5,5,1,2,3,CPSC,0,1,0,0,0,0,0,,,
4381673286,F15PHIL379,PHIL379,Fall,Commercial,BBJ,0,0,0,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,OTHR,0,0,0,0,0,0,0,,,
4683947931,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,0,5,1,2,2,5,5,4,4,3,3,3,4,3,3,Contained a bulk of important theorems and the proofs of them.,Could have been more clear and understandable when working through examples.,2,5,1,5,1,3,CPSC,0,1,0,0,0,0,0,,B+,3.3
4682898655,W16PHIL379,PHIL379,Winter,Open,SLC,0,0,0,1,0,0,0,Microsoft Edge,0,0,0,0,1,0,0,1,0,0,0,4,1,3,1,5,5,3,4,4,3,3,3,5,4,"The professor was very well aquatinted with the text (obviously), and so there was a great synergy. During a lecture, he would constantly relate the material to the text. This was awesome, because the material is dense and the symbology isn't as immediately and effortlessly ""parseable"" as language that we use more often. Having ties between the lecture and the text allowed easier ""points of entry"" into the text material, which were invaluable and motivating. I really liked how the electronic text had links to jump to other relevant parts of the text, it really helped bind related ideas. ","There were a few instances where I felt that an example didn't clearly enough demonstrate a concept. For example, I would suggest re-working example 7.7, which is a natural deduction involving an existential quantifier. I feel that since example 7.6 was a fairly complete example of a natural deduction without any quantifiers, that the focus of 7.7 ought be eigenvariable conditions. Although touched upon, the concept is not well illustrated in my opinion.",3,3,3,3,1,4,CPSC,0,1,0,0,0,0,0,,,
4676643772,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,1,0,0,0,"Adobe, Nitro",1,1,0,0,0,0,0,0,0,0,0,6,3,1,2,5,5,2,2,3,5,3,4,1,2,,,2,5,2,4,1,4,PHIL,0,0,0,1,0,0,0,,A-,3.7
4675160844,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,1,6,3,3,4,5,5,5,5,4,4,4,4,4,5,Covers everything,Lesser examples,2,5,1,5,2,2,CPSC,0,1,0,1,0,0,0,,,
4664271647,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,1,1,2,2,3,4,3,3,4,4,2,2,3,"I like that the hardcopy is well-made, colorful title, and good size to access.","The material itself is a bit hard to engage in, and perhaps the explanations are too math-heavy and not easy to understand.    ",2,5,1,5,1,3,CPSC,0,1,0,0,0,0,0,,B+,3.3
4657131348,W16PHIL379,PHIL379,Winter,Open,SLC,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,1,0,0,0,5,2,4,3,2,4,,,,,,,,,,,,,,,,,OTHR,0,0,0,0,0,0,0,,,
4655571690,W16PHIL379,PHIL379,Winter,Open,SLC,0,0,0,1,0,0,0,Adobe,0,0,0,0,1,0,0,0,0,1,0,4,1,3,1,5,5,4,4,4,4,3,2,2,2,,,,,,,1,3,OTHR,0,0,0,0,0,0,1,Natural Science,A-,3.7
4653846699,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,1,0,0,0,Adobe,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,4,4,4,4,4,3,4,4,4,4,,,4,1,1,5,3,2,CPSC,0,1,0,0,0,0,0,,A-,3.7
4653785317,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,1,0,0,0,Chrome,0,0,1,0,0,0,0,1,0,0,0,5,1,2,3,4,4,4,3,3,2,5,4,3,4,"Lots of explanation of all concepts, regardless of complexity. ","Some particularly lemmas and proofs have been left as excersizes. Conversely, some very similar lemmas have been fully shown to the point of redundancy. This is particularly prevalent in the middle of the book most heavily regarding metallic (as opposed to functions, relations, Turing machines and decidability. ",3,5,2,4,1,2,CPSC,0,1,0,0,0,0,0,,B,3
4644440984,W16PHIL379,PHIL379,Winter,Open,SLC,0,0,0,1,0,0,0,D2L,0,0,0,0,1,0,0,1,0,0,0,4,1,1,1,4,5,4,4,3,2,5,3,4,4,"Well organized, interesting usually, and detailed","To me a textbook is where I'm meant to go first when I don't understand a concept, and so when significant parts of a proof were left as exercises it was difficult to understand why some things were the case",3,1,1,5,1,3,CPSC,0,1,0,0,0,0,0,,B+,3.3
4643953122,W16PHIL379,PHIL379,Winter,Open,SLC,0,0,0,1,0,0,0,Adobe,0,0,0,0,1,0,0,1,0,0,0,6,3,4,2,5,5,5,5,4,4,5,4,4,4,"I like how the text is organized, along with discussions on the motivations and applications of the material. Providing some historical context gives the text some life, and the biographies were very interesting to read.    The presentation of the material feels clean. I found the proofs to be simple to follow, and the definitions were clearly stated. The exercises were very helpful for digesting the material.","It is visually unappealing when there are several propositions in a row, and their proofs are stated to be left as an exercise. If there are several propositions that are similar in nature, it would be better if they were stated as a single proposition with multiple parts.    I personally prefer when exercises/problems are inserted within the chapters. Exercises are important in learning, and they give the reader something to think about as they read through the text.",2,1,1,5,1,4,MATH,1,0,0,0,0,0,0,,A-,3.7
4642989312,W16PHIL379,PHIL379,Winter,Open,SLC,0,0,0,1,0,0,0,Adobe,0,0,0,0,1,0,0,1,1,0,0,6,2,3,1,5,5,4,5,2,5,4,2,2,2,Very through,"Doesn't spend enough time explaining everything - it is hard to learn only with the text (which a person should be able to do), a person needs to go to class in order to get the basis so they can begin to understand the text.",3,1,1,5,1,2,CPSC,0,1,0,0,0,0,0,,C+,2.3
4640749096,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,1,0,0,0,Drawboard PDF,0,0,0,0,1,1,1,1,0,0,0,6,3,3,3,5,5,5,2,2,1,4,2,4,2,I like that it mirrors what we cover in lectures.,"There are far too many errors in the text, which may not seem that important to someone who knows the material already and can determine what is an error and what isn't, but to someone seeing the material for the first time, it causes much unnecessary confusion.",3,3,1,5,1,2,CPSC,0,1,0,0,0,0,0,,A-,3.7
4638749250,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,0,6,3,3,3,5,5,4,4,3,3,4,4,4,4,"Gets straight to the point, really helpful for looking back on material.","A few more examples in some sections would be nice. Some sections move a bit too quickly. I find the textbook is very good when you have a lecture to supplement it, but I am not sure it would stand on its own as well.",3,4,1,5,1,4,PHYS,0,0,1,0,0,0,0,,A,4
4638674244,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,0,0,0,0,,1,0,1,1,0,0,0,0,0,0,0,6,3,3,2,5,5,4,4,4,2,4,3,4,4,simple and clear explanation,not enough exercises  there is no solution for the exercise problems,3,3,1,5,2,5,PHIL,0,0,0,1,0,0,0,,B+,3.3
4638671765,W16PHIL379,PHIL379,Winter,Open,SLC,0,0,1,1,0,0,0,PDF-XChange,0,0,1,0,0,0,0,1,0,0,0,5,1,2,1,2,4,5,5,3,4,3,2,4,3,,,3,1,1,5,1,5,PHIL,0,0,0,1,0,0,0,,B,3
4638553772,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,1,0,0,0,Adobe,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,5,5,5,5,5,5,5,5,3,5,This text mirrors what we have learned in class very well. I can use it to relearn or clarify just about anything in lecture.,There are occasionally errors in the book. I wish there were more solved problems to practice with.,3,5,1,5,1,3,CPSC,0,1,0,0,0,0,0,,B,3
4638530848,W16PHIL379,PHIL379,Winter,Open,SLC,0,0,0,1,0,0,0,D2L,0,0,0,0,1,0,0,0,0,0,0,5,2,2,3,5,5,4,4,4,4,4,4,4,5,Searchable and free!,Not much to dislike — it's solid!,2,5,1,5,1,2,CPSC,0,1,0,0,0,0,0,,B+,3.3
4638468749,W16PHIL379,PHIL379,Winter,Open,SLC,0,0,0,1,0,0,0,Adobe,0,0,0,0,1,0,0,1,0,0,0,6,1,1,1,5,5,4,5,2,2,5,2,3,2,How organized it is.,"No answers are provided for practice problems, the use of undefined terms, and lack of examples that expand and show application on some of the topics.",3,1,2,4,1,4,OTHR,0,0,0,0,0,0,1,Psychology,B,3
4638418847,W16PHIL379,PHIL379,Winter,Open,SLC,0,0,0,1,0,0,0,Preview,0,0,0,0,1,0,0,1,1,0,0,6,4,3,5,5,5,5,4,4,4,5,4,5,5,"I like that there are clear sections with clear examples, definitions, theorems, etc...",I would like for there to be more examples included.,,1,1,5,1,,CPSC,0,1,0,0,0,0,0,,A+,4.3
4638412556,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,0,0,0,0,,0,1,0,1,0,0,0,1,0,0,0,6,2,4,1,5,5,4,5,4,5,4,,2,2,A very logical and well thought out progression throughout the text.,"There are still a few grammatical mistakes in the text. In addition, some select concepts that are difficult in class ie) decision problem should be given more examples",3,1,1,5,1,3,CPSC,0,1,0,0,0,0,0,,B,3
4638386968,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,1,0,0,0,Adobe,0,0,1,0,0,0,0,1,1,1,0,6,5,5,2,5,5,4,2,2,4,4,2,3,3,,Incorrect or missing information makes it hard to understand,6,1,1,5,1,3,MATH,1,1,0,1,0,0,0,,B,3
4638328630,W16PHIL379,PHIL379,Winter,Open,SLC,1,0,0,1,0,0,0,Drawboard PDF,0,0,1,0,0,0,1,1,0,0,0,5,2,3,1,5,5,4,5,3,4,4,4,3,4,,,2,5,1,5,1,4,CPSC,0,1,0,0,0,0,0,,A+,4.3
